text,label,pmid,pmcid,fetching_date,cui,normalized_name,normalization_source,url
immune cell,CELL,40597847,40597847,2025-08-18 15:47:08.912,C4330475,Immune Cell,NCI,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4330475
fibroblast populations,CANCER,40597847,40597847,2025-08-18 15:47:08.912,,,,
extracellular matrix receptor,CELLULAR_COMPONENT,40597847,40597847,2025-08-18 15:47:08.912,C0059969,extracellular matrix receptor,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0059969
pi3k-akt,GENE_OR_GENE_PRODUCT,40597847,40597847,2025-08-18 15:47:08.912,C1518770,PI3K-AKT Pathway Deregulation,NCI,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1518770
gastric cancer cell,CANCER,40597847,40597847,2025-08-18 15:47:08.912,C4076910,GMBP1 peptide,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4076910
humans stomach neoplasms helicobacter infections helicobacter pylori immune checkpoint,ORGANISM,40597779,40597779,2025-08-18 15:47:09.014,,,,
tumor,CANCER,40597779,40597779,2025-08-18 15:47:09.014,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
gastrointestinal microbiome,CANCER,40597779,40597779,2025-08-18 15:47:09.014,C4018878,Gastrointestinal Microbiome,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4018878
gastric cancer gut microbiota helicobacter pylori immune,CANCER,40597779,40597779,2025-08-18 15:47:09.014,,,,
tumor immune microenvironment helicobacter,GENE_OR_GENE_PRODUCT,40597779,40597779,2025-08-18 15:47:09.014,,,,
h. pylori,CANCER,40597779,40597779,2025-08-18 15:47:09.014,C0079488,Helicobacter pylori,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0079488
gastric,ORGAN,40597779,40597779,2025-08-18 15:47:09.014,C1704242,Gastric (qualifier value),MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1704242
icis,CANCER,40597779,40597779,2025-08-18 15:47:09.014,C2829906,MTUS2 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C2829906
gastric cancer,CANCER,40597779,40597779,2025-08-18 15:47:09.014,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
patients,ORGANISM,40597779,40597779,2025-08-18 15:47:09.014,C0030705,Patients,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0030705
h. pylori,ORGANISM,40597779,40597779,2025-08-18 15:47:09.014,C0079488,Helicobacter pylori,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0079488
pd-1/pd-l1,GENE_OR_GENE_PRODUCT,40597779,40597779,2025-08-18 15:47:09.014,C5392807,PD-1-PD-L1 Blockade,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C5392807
anti-tumor,GENE_OR_GENE_PRODUCT,40597779,40597779,2025-08-18 15:47:09.014,C0003392,Antineoplastic Agents,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0003392
caga,GENE_OR_GENE_PRODUCT,40597779,40597779,2025-08-18 15:47:09.014,C1366582,S100A8 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1366582
vaca,GENE_OR_GENE_PRODUCT,40597779,40597779,2025-08-18 15:47:09.014,C0077966,VACA protocol,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0077966
gut,ORGANISM_SUBDIVISION,40597779,40597779,2025-08-18 15:47:09.014,C0699819,Gut,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0699819
t cell,CELL,40597779,40597779,2025-08-18 15:47:09.014,C0039194,T-Lymphocyte,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0039194
ici,GENE_OR_GENE_PRODUCT,40597779,40597779,2025-08-18 15:47:09.014,C0700621,ICI-46474,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0700621
h. pylori-positive patients,ORGANISM,40597779,40597779,2025-08-18 15:47:09.014,,,,
ici,SIMPLE_CHEMICAL,40597779,40597779,2025-08-18 15:47:09.014,C0700621,ICI-46474,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0700621
tumor immune,CANCER,40597779,40597779,2025-08-18 15:47:09.014,C4727342,Tumor-Infiltrating Immune Cell,NCI,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4727342
helicobacter pylori,ORGANISM,40597779,40597779,2025-08-18 15:47:09.014,C0079488,Helicobacter pylori,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0079488
icis,GENE_OR_GENE_PRODUCT,40597779,40597779,2025-08-18 15:47:09.014,C2829906,MTUS2 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C2829906
humans stomach neoplasms female,ORGANISM,40597721,40597721,2025-08-18 15:47:09.115,,,,
gastric cancer,CANCER,40597721,40597721,2025-08-18 15:47:09.115,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
gastric cancer patients,CANCER,40597721,40597721,2025-08-18 15:47:09.115,C3533302,Functional assessment of cancer therapy for patients with gastric cancer questionnaire - version 4,LNC,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C3533302
patients,ORGANISM,40597721,40597721,2025-08-18 15:47:09.115,C0030705,Patients,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0030705
lagc,CANCER,40597721,40597721,2025-08-18 15:47:09.115,C1437862,"LagC protein, Dictyostelium discoideum",MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1437862
humans stomach neoplasms male female,ORGANISM,40597264,40597264,2025-08-18 15:47:09.206,,,,
macrophages,CELL,40597264,40597264,2025-08-18 15:47:09.206,C1550652,Specimen Type - Macrophages,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1550652
aged,GENE_OR_GENE_PRODUCT,40597264,40597264,2025-08-18 15:47:09.206,C1999167,Old age,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1999167
tissue inhibitor of metalloproteinase-3,GENE_OR_GENE_PRODUCT,40597264,40597264,2025-08-18 15:47:09.206,C0210492,Tissue Inhibitor of Metalloproteinase-3,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0210492
matrix metalloproteinase 2,GENE_OR_GENE_PRODUCT,40597264,40597264,2025-08-18 15:47:09.206,C0172537,Matrix Metalloproteinase 2,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0172537
cell line,CELL,40597264,40597264,2025-08-18 15:47:09.206,C0007600,Cultured Cell Line,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007600
tumor aged,CANCER,40597264,40597264,2025-08-18 15:47:09.206,C1545609,Tumor Ag 90,LNC,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1545609
carcinoma,CANCER,40597264,40597264,2025-08-18 15:47:09.206,C0007097,Carcinoma,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007097
matrix metalloproteinases,GENE_OR_GENE_PRODUCT,40597264,40597264,2025-08-18 15:47:09.206,C0623362,Matrix Metalloproteinases,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0623362
tams,GENE_OR_GENE_PRODUCT,40597264,40597264,2025-08-18 15:47:09.206,C0755473,Tams1 antigen,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0755473
cardia carcinoma,CANCER,40597264,40597264,2025-08-18 15:47:09.206,C0345794,Carcinoma of cardia,SNOMEDCT_US,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0345794
humans stomach neoplasms,ORGANISM,40596888,40596888,2025-08-18 15:47:09.295,,,,
aged,GENE_OR_GENE_PRODUCT,40596888,40596888,2025-08-18 15:47:09.295,C1999167,Old age,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1999167
gastric cancer,CANCER,40596888,40596888,2025-08-18 15:47:09.295,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
nac,SIMPLE_CHEMICAL,40596888,40596888,2025-08-18 15:47:09.295,C1622105,NAC Substance,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1622105
patients,ORGANISM,40596888,40596888,2025-08-18 15:47:09.295,C0030705,Patients,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0030705
lagc,CANCER,40596888,40596888,2025-08-18 15:47:09.295,C1437862,"LagC protein, Dictyostelium discoideum",MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1437862
humans helicobacter,ORGANISM,40596880,40596880,2025-08-18 15:47:09.386,,,,
stomach neoplasms,CANCER,40596880,40596880,2025-08-18 15:47:09.386,C0038356,Stomach Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0038356
helicobacter pylori,ORGANISM,40596880,40596880,2025-08-18 15:47:09.386,C0079488,Helicobacter pylori,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0079488
ulcer,CANCER,40596880,40596880,2025-08-18 15:47:09.386,C0041582,Ulcer,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0041582
ulcer,PATHOLOGICAL_FORMATION,40596880,40596880,2025-08-18 15:47:09.386,C0041582,Ulcer,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0041582
duodenal ulcer,CANCER,40596880,40596880,2025-08-18 15:47:09.386,C0013295,Duodenal Ulcer,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0013295
gastric atrophy,PATHOLOGICAL_FORMATION,40596880,40596880,2025-08-18 15:47:09.386,C0017154,"Gastritis, Atrophic",MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0017154
gastric cancer gastric ulcer gastritis helicobacter pylori helicobacter pylori,CANCER,40596880,40596880,2025-08-18 15:47:09.386,,,,
gastric cancer,CANCER,40596880,40596880,2025-08-18 15:47:09.386,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
h. pylori,ORGANISM,40596880,40596880,2025-08-18 15:47:09.386,C0079488,Helicobacter pylori,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0079488
cancer,CANCER,40596880,40596880,2025-08-18 15:47:09.386,C0006826,Malignant Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0006826
patients,ORGANISM,40596880,40596880,2025-08-18 15:47:09.386,C0030705,Patients,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0030705
gastric ulcer,CANCER,40596880,40596880,2025-08-18 15:47:09.386,C0038358,Gastric ulcer,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0038358
humans stomach neoplasms prognosis gene,ORGANISM,40596319,40596319,2025-08-18 15:47:09.478,,,,
neoplastic tumor microenvironment gene,CANCER,40596319,40596319,2025-08-18 15:47:09.478,,,,
tumor,CANCER,40596319,40596319,2025-08-18 15:47:09.478,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
neoplasm cell,CELL,40596319,40596319,2025-08-18 15:47:09.478,C0334664,Mast Cell Neoplasm,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0334664
gastric cancer,CANCER,40596319,40596319,2025-08-18 15:47:09.478,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
cell,CELL,40596319,40596319,2025-08-18 15:47:09.478,C0007634,Cells,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007634
patients,ORGANISM,40596319,40596319,2025-08-18 15:47:09.478,C0030705,Patients,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0030705
pcd,CANCER,40596319,40596319,2025-08-18 15:47:09.478,C1550744,post cibus diurnus,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1550744
malignant tumors,CANCER,40596319,40596319,2025-08-18 15:47:09.478,C0006826,Malignant Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0006826
gse62254,GENE_OR_GENE_PRODUCT,40596319,40596319,2025-08-18 15:47:09.478,,,,
p53,GENE_OR_GENE_PRODUCT,40596319,40596319,2025-08-18 15:47:09.478,C0080055,Protein p53,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0080055
nod-like receptor,GENE_OR_GENE_PRODUCT,40596319,40596319,2025-08-18 15:47:09.478,C4277661,NLR Proteins,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4277661
il-17,GENE_OR_GENE_PRODUCT,40596319,40596319,2025-08-18 15:47:09.478,C1623218,IL-17 activity,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1623218
nf-kappa b,GENE_OR_GENE_PRODUCT,40596319,40596319,2025-08-18 15:47:09.478,C0079904,NF-kappa B,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0079904
pi3k-akt,GENE_OR_GENE_PRODUCT,40596319,40596319,2025-08-18 15:47:09.478,C1518770,PI3K-AKT Pathway Deregulation,NCI,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1518770
immune cell,CELL,40596319,40596319,2025-08-18 15:47:09.478,C4330475,Immune Cell,NCI,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4330475
immune checkpoint genes,GENE_OR_GENE_PRODUCT,40596319,40596319,2025-08-18 15:47:09.478,,,,
pdcd1,GENE_OR_GENE_PRODUCT,40596319,40596319,2025-08-18 15:47:09.478,C1418401,PDCD1 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1418401
cd274,GENE_OR_GENE_PRODUCT,40596319,40596319,2025-08-18 15:47:09.478,C1540292,CD274 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1540292
ido1,GENE_OR_GENE_PRODUCT,40596319,40596319,2025-08-18 15:47:09.478,C1416433,IDO1 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1416433
gastric cancer patients,CANCER,40596319,40596319,2025-08-18 15:47:09.478,C3533302,Functional assessment of cancer therapy for patients with gastric cancer questionnaire - version 4,LNC,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C3533302
humans stomach neoplasms,ORGANISM,40595924,40595924,2025-08-18 15:47:09.582,,,,
neoplastic micrornas,CANCER,40595924,40595924,2025-08-18 15:47:09.582,,,,
messenger cell line,CELL,40595924,40595924,2025-08-18 15:47:09.582,,,,
tumor,CANCER,40595924,40595924,2025-08-18 15:47:09.582,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
gastric cancer,CANCER,40595924,40595924,2025-08-18 15:47:09.582,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
tumor microenvironment wgcna,CANCER,40595924,40595924,2025-08-18 15:47:09.582,,,,
patients,ORGANISM,40595924,40595924,2025-08-18 15:47:09.582,C0030705,Patients,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0030705
cancer,CANCER,40595924,40595924,2025-08-18 15:47:09.582,C0006826,Malignant Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0006826
cancerous,CANCER,40595924,40595924,2025-08-18 15:47:09.582,C5397071,Cancerous ulcer,SNOMEDCT_US,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C5397071
non-cancerous tissues,TISSUE,40595924,40595924,2025-08-18 15:47:09.582,C3248187,"Microsatellite instability analysis (eg, hereditary non-polyposis colorectal cancer, Lynch syndrome) of markers for mismatch repair deficiency (eg, BAT25, BAT26), includes comparison of neoplastic and normal tissue, if performed",MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C3248187
network,MULTI_TISSUE_STRUCTURE,40595924,40595924,2025-08-18 15:47:09.582,C1882071,Network,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1882071
ac010333.1,GENE_OR_GENE_PRODUCT,40595924,40595924,2025-08-18 15:47:09.582,,,,
linc00922,CELLULAR_COMPONENT,40595924,40595924,2025-08-18 15:47:09.582,C3816403,LINC00922 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C3816403
al121772.1,CANCER,40595924,40595924,2025-08-18 15:47:09.582,,,,
t,CANCER,40595924,40595924,2025-08-18 15:47:09.582,,,,
cells,CELL,40595924,40595924,2025-08-18 15:47:09.582,C0007634,Cells,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007634
mir-144-3p,GENE_OR_GENE_PRODUCT,40595924,40595924,2025-08-18 15:47:09.582,C2976603,"MIRN144 microRNA, rat",MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C2976603
cdh11,GENE_OR_GENE_PRODUCT,40595924,40595924,2025-08-18 15:47:09.582,C1413269,CDH11 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1413269
col5a2,GENE_OR_GENE_PRODUCT,40595924,40595924,2025-08-18 15:47:09.582,C1413588,COL5A2 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1413588
col12a1,GENE_OR_GENE_PRODUCT,40595924,40595924,2025-08-18 15:47:09.582,C1413572,COL12A1 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1413572
vcan,GENE_OR_GENE_PRODUCT,40595924,40595924,2025-08-18 15:47:09.582,C1413763,VCAN gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1413763
anti-pd-1 immune checkpoint,GENE_OR_GENE_PRODUCT,40595924,40595924,2025-08-18 15:47:09.582,,,,
ap000695.2-mir-144,ORGANISM,40595924,40595924,2025-08-18 15:47:09.582,,,,
humans stomach neoplasms,ORGANISM,40595738,40595738,2025-08-18 15:47:09.687,,,,
cell line,CELL,40595738,40595738,2025-08-18 15:47:09.687,C0007600,Cultured Cell Line,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007600
tumor,CANCER,40595738,40595738,2025-08-18 15:47:09.687,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
cell,CELL,40595738,40595738,2025-08-18 15:47:09.687,C0007634,Cells,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007634
aged,GENE_OR_GENE_PRODUCT,40595738,40595738,2025-08-18 15:47:09.687,C1999167,Old age,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1999167
gastric cancer,CANCER,40595738,40595738,2025-08-18 15:47:09.687,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
p53,GENE_OR_GENE_PRODUCT,40595738,40595738,2025-08-18 15:47:09.687,C0080055,Protein p53,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0080055
cells,CELL,40595738,40595738,2025-08-18 15:47:09.687,C0007634,Cells,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007634
tumors,CANCER,40595738,40595738,2025-08-18 15:47:09.687,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
tumor tissue,TISSUE,40595738,40595738,2025-08-18 15:47:09.687,C0475358,Tumor tissue sample,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0475358
gse26901,GENE_OR_GENE_PRODUCT,40595738,40595738,2025-08-18 15:47:09.687,,,,
gastric cancer cell lines,CELL,40595738,40595738,2025-08-18 15:47:09.687,,,,
patients,ORGANISM,40595738,40595738,2025-08-18 15:47:09.687,C0030705,Patients,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0030705
specimens,CANCER,40595738,40595738,2025-08-18 15:47:09.687,C0370003,Specimen,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0370003
pvt1,GENE_OR_GENE_PRODUCT,40595738,40595738,2025-08-18 15:47:09.687,C0812285,PVT1 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0812285
f2r,GENE_OR_GENE_PRODUCT,40595738,40595738,2025-08-18 15:47:09.687,C1366449,F2R gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1366449
incenp,GENE_OR_GENE_PRODUCT,40595738,40595738,2025-08-18 15:47:09.687,C1416432,INCENP gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1416432
irak1,GENE_OR_GENE_PRODUCT,40595738,40595738,2025-08-18 15:47:09.687,C1334134,IRAK1 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1334134
pdegs,CANCER,40595738,40595738,2025-08-18 15:47:09.687,C1418429,PDE6G gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1418429
cell lines,CELL,40595738,40595738,2025-08-18 15:47:09.687,C0007600,Cultured Cell Line,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007600
tumor tissues,TISSUE,40595738,40595738,2025-08-18 15:47:09.687,C0475358,Tumor tissue sample,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0475358
humans stomach neoplasms pyroptosis nlr,ORGANISM,40595708,40595708,2025-08-18 15:47:09.791,,,,
pyrin domain-containing 3,GENE_OR_GENE_PRODUCT,40595708,40595708,2025-08-18 15:47:09.791,C4255055,"NLR Family, Pyrin Domain-Containing 3 Protein",MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4255055
cell line,CELL,40595708,40595708,2025-08-18 15:47:09.791,C0007600,Cultured Cell Line,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007600
tumor,CANCER,40595708,40595708,2025-08-18 15:47:09.791,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
caspase 1,GENE_OR_GENE_PRODUCT,40595708,40595708,2025-08-18 15:47:09.791,C0534519,Caspase-1,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0534519
intracellular,IMMATERIAL_ANATOMICAL_ENTITY,40595708,40595708,2025-08-18 15:47:09.791,C0178719,Intracellular,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0178719
signaling peptides,GENE_OR_GENE_PRODUCT,40595708,40595708,2025-08-18 15:47:09.791,C1449858,Intracellular Signaling Peptides,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1449858
cell,CELL,40595708,40595708,2025-08-18 15:47:09.791,C0007634,Cells,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007634
neoplastic cell,CANCER,40595708,40595708,2025-08-18 15:47:09.791,C0597032,Neoplastic Cell,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0597032
male,ORGANISM,40595708,40595708,2025-08-18 15:47:09.791,C1706180,Male Gender,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1706180
indenes sulfonamides cell,CELL,40595708,40595708,2025-08-18 15:47:09.791,,,,
gastric cancer,CANCER,40595708,40595708,2025-08-18 15:47:09.791,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
malignancies,CANCER,40595708,40595708,2025-08-18 15:47:09.791,C0006826,Malignant Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0006826
rbpms2,GENE_OR_GENE_PRODUCT,40595708,40595708,2025-08-18 15:47:09.791,C1538819,RBPMS2 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1538819
gc cells,CELL,40595708,40595708,2025-08-18 15:47:09.791,C1333296,Activated B-cell type diffuse large B-cell lymphoma,MDR,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1333296
nlr,GENE_OR_GENE_PRODUCT,40595708,40595708,2025-08-18 15:47:09.791,C4277661,NLR Proteins,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4277661
cell membrane,CELLULAR_COMPONENT,40595708,40595708,2025-08-18 15:47:09.791,C0007603,Plasma membrane,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007603
nlrp3,GENE_OR_GENE_PRODUCT,40595708,40595708,2025-08-18 15:47:09.791,C1424250,NLRP3 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1424250
mcc950,GENE_OR_GENE_PRODUCT,40595708,40595708,2025-08-18 15:47:09.791,C4044426,MCC-950,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4044426
gastric cancer cells,CANCER,40595708,40595708,2025-08-18 15:47:09.791,C4076910,GMBP1 peptide,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4076910
caspase-1,GENE_OR_GENE_PRODUCT,40595708,40595708,2025-08-18 15:47:09.791,C0534519,Caspase-1,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0534519
gsdmd,GENE_OR_GENE_PRODUCT,40595708,40595708,2025-08-18 15:47:09.791,C1539620,GSDMD gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1539620
enhancer,GENE_OR_GENE_PRODUCT,40595652,40595652,2025-08-18 15:47:09.889,C1705733,Enhancer brand,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1705733
zeste homolog 2,GENE_OR_GENE_PRODUCT,40595652,40595652,2025-08-18 15:47:09.889,C4255172,Enhancer of Zeste Homolog 2 Protein,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4255172
squamous cell mice humans stomach neoplasms,CANCER,40595652,40595652,2025-08-18 15:47:09.889,,,,
neoplastic cell line,CELL,40595652,40595652,2025-08-18 15:47:09.889,,,,
tumor tumor,CANCER,40595652,40595652,2025-08-18 15:47:09.889,C0007095,Carcinoid Tumor,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007095
p53 pten,GENE_OR_GENE_PRODUCT,40595652,40595652,2025-08-18 15:47:09.889,,,,
histones gastric squamous cell carcinoma,ORGANISM,40595652,40595652,2025-08-18 15:47:09.889,,,,
gscc,CANCER,40595652,40595652,2025-08-18 15:47:09.889,,,,
gastric cancer,CANCER,40595652,40595652,2025-08-18 15:47:09.889,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
gscc samples,CANCER,40595652,40595652,2025-08-18 15:47:09.889,,,,
ezh2,GENE_OR_GENE_PRODUCT,40595652,40595652,2025-08-18 15:47:09.889,C1333368,EZH2 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1333368
squamous,CANCER,40595652,40595652,2025-08-18 15:47:09.889,C1182670,Squamous,FMA,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1182670
gastric organoids,CANCER,40595652,40595652,2025-08-18 15:47:09.889,,,,
